# ===========================================,,,,,,,,,,,,
# timeslice=63, slack=2, packetLoss=0,,,,,,,,,,
# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z,
-356,-2602,-2088,-335,-3482,232,2868,-604,-708,-257,-3560,-458,5
948,-4476,-2130,1845,-4823,88,814,-390,-330,-767,-137,-267,5
282,-2568,-318,3444,-2770,-233,-102,266,-60,-827,2278,-166,5
316,-1038,1368,1942,-136,-1150,-12,464,344,-888,2701,-745,5
1264,1012,-1158,-1431,1126,-1562,910,-998,1978,105,184,-1577,5
3316,-1978,-4030,-3911,2948,-1668,5116,-1024,6136,727,-6745,-3245,5
3280,-8494,-9514,-4343,2375,-1380,14232,908,11572,1056,-11633,-1839,5
2554,-25658,-8690,-1638,1745,-1437,31838,-2814,13678,-245,-14279,-2651,5
-5406,-32768,-28516,3136,-939,-5025,32767,-4322,16148,-1082,-7425,-4056,5
-15938,-32768,-16496,14126,-1070,1616,32767,-8690,20416,-355,-2626,-1481,5
-8574,-32768,-330,616,-3211,4832,32767,-5250,21486,-751,2113,-604,5
-10366,-32768,-12288,-3441,-604,2522,32767,-5086,21182,-1579,5321,-862,5
-6802,-32768,-14060,-1153,3193,755,32767,-3796,15124,-792,6583,214,5
-4144,-27210,-9056,-3028,-1585,1498,23496,-3640,9666,1026,7601,1809,5
-312,-16820,-5840,2134,-4507,-5,15810,-3994,2772,2685,8343,2877,5
218,-8532,-4524,4518,-5836,-1113,6566,-2724,-512,2697,9758,3258,5
3360,736,-4880,3467,-4303,-2587,-3518,-988,694,5153,7716,4159,5
6526,7950,-3156,798,-3746,-4304,-5762,2160,-618,3952,4567,3838,5
4254,9098,-136,325,-438,-3752,-3734,2586,-432,2759,-1139,610,5
2066,3728,-350,-711,2697,-2074,-1308,2054,-834,1580,-5030,-788,5
722,-136,-738,-632,2342,-65,498,1356,-994,131,-5719,-725,5
-280,-2540,-680,433,203,1219,2492,236,-1084,-1617,-3498,-454,5
# ---,,,,,,,,,,,,5
-914,-3402,-826,1021,-386,1206,3176,-918,-1548,-3168,711,2,5
-1840,-2876,-266,1031,-296,243,1666,-1132,-1286,-2098,2862,12,5
-648,-644,-490,-97,-391,-666,-280,-528,-156,-143,3107,-58,5
2504,806,-1868,-593,1138,-1428,-1212,108,1014,904,1334,-297,5
3270,-122,-3122,-2982,3287,-771,734,-456,7948,3030,-5352,-2695,5
5130,-7856,-6528,-2003,3772,-1052,13330,1968,12124,2095,-13852,-3625,5
3300,-28366,-7014,1136,2321,-3818,32420,1448,10990,-1481,-17264,-4242,5
-4016,-32768,-11312,3763,2314,-4,32767,-4540,11576,-3754,-5879,-2025,5
-17274,-32768,-23898,3899,-2558,5171,32767,-10902,19448,-61,-4304,-383,5
-2380,-32768,-3852,1147,-5677,2881,32767,-4714,24148,333,1465,1606,5
-7548,-32768,-8118,-1520,5418,526,32767,-886,22976,-5019,2712,1220,5
-7002,-32768,-17194,-3261,3138,1620,32767,-3024,16278,-4040,4082,-1457,5
-7528,-32344,-10662,4154,-719,2935,30878,-4362,10536,-970,6853,-957,5
-4884,-22210,-5484,-4513,157,2690,19604,-3536,6046,-305,8105,2284,5
-2382,-12272,-4958,2292,-1622,-2492,9334,-2712,2284,214,8797,3517,5
5206,-1646,-4794,-828,-2083,-4845,-114,-2660,298,2933,8624,4086,5
6380,8766,-2062,-1414,-2515,-2649,-5428,-658,-638,3877,5315,3774,5
4674,10110,-1872,794,-779,935,-5734,3086,-1114,3107,-467,2630,5
3064,3976,638,-414,452,-395,-2326,3072,-1296,44,-5233,872,5
626,374,416,-73,2319,-1900,1716,1388,-732,-1542,-7005,-630,5
-634,-2774,-340,-2076,1360,-168,3538,886,-750,-2132,-4849,-574,5
-1092,-4774,-2002,-1356,-201,-225,2616,-278,-1716,-3457,-1111,-496,5
-1704,-3068,-1470,-769,-818,-4,1794,-1630,-1102,-3652,1998,-244,5
-374,-234,-578,-154,-1094,247,1262,-860,-588,-3058,3269,746,5
2030,1602,-646,400,-330,400,284,46,-1030,-2273,2627,1638,5
5256,1142,-1036,-3018,2015,1595,2152,-1318,280,88,-3987,-288,5
3284,-7028,-4538,-2185,1721,393,9040,-3724,5804,73,-10088,-1435,5
