# ===========================================,,,,,,,,,,,,
# timeslice=63, slack=2, packetLoss=0,,,,,,,,,,
# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z,
-1138,-15902,-4558,83,-65,-455,15206,-2498,6658,-107,16,51,2
-1066,-15968,-4630,206,-713,-660,15026,-3068,6940,-192,373,-118,2
-1352,-16238,-4552,210,-931,-629,14344,-3050,6992,537,69,180,2
-1536,-16370,-4416,53,-681,-642,14994,-2180,6594,1021,-333,609,2
-1534,-16446,-4548,-216,-1017,-703,15332,-2492,6870,1665,-722,359,2
-1228,-16374,-4708,-103,-1718,-878,15250,-2264,7152,1324,-760,407,2
-734,-16122,-4844,-38,-1716,-790,15090,-2484,7042,1179,-692,634,2
-470,-15948,-4876,-21,-1435,-612,15124,-2568,7132,1379,-925,798,2
-864,-16088,-4772,-124,-1094,-469,14680,-2412,7384,1425,-1460,1077,2
-1154,-16062,-4728,-350,-717,-364,14806,-1636,7082,811,-1827,1445,2
-1022,-15970,-4830,-652,-526,-278,14872,-2092,7022,27,-1648,1579,2
-860,-16064,-4920,-711,-470,-161,14756,-1964,7174,-769,-1718,1845,2
-790,-16080,-5004,-645,-246,41,15118,-1866,7442,-1728,-2159,2448,2
-918,-16012,-4800,-500,-24,202,15630,-2880,7166,-2668,-1937,2682,2
-1092,-16102,-4624,-555,28,208,15300,-3070,6692,-3870,-769,2738,2
-1120,-16284,-4920,-759,41,203,15134,-3280,6362,-4417,316,2596,2
-990,-16450,-5158,-293,-7,76,14912,-3674,5790,-4165,1568,2491,2
-812,-16406,-5082,-8,363,-13,14056,-4304,5796,-3601,1085,2330,2
-1164,-16056,-4806,-191,725,143,13976,-4676,6052,-3018,61,2601,2
-1342,-15930,-4680,-323,948,363,14616,-4392,6240,-2867,-476,3212,2
-1384,-16162,-4734,-490,861,366,14206,-4414,6426,-2807,-843,2836,2
-1450,-16220,-4896,-238,569,214,14340,-4342,6326,-2951,-887,2441,2
-1364,-16378,-5004,79,208,114,14404,-4758,5852,-2756,-1047,1727,2
-1342,-16426,-4878,-111,195,31,14192,-4540,6828,-2575,-659,1763,2
-1000,-16318,-4810,87,418,-73,14434,-5070,5766,-2533,153,1839,2
-674,-16144,-5002,312,253,-136,14354,-5336,5912,-2204,506,1433,2
-916,-16216,-5136,283,332,-59,13932,-4736,7168,-2411,-31,1600,2
-1056,-16226,-4896,233,596,-28,14222,-5436,6004,-2657,-217,1444,2
-1002,-16088,-4768,282,628,-75,13800,-5650,5822,-1409,732,1013,2
-1178,-16156,-4682,98,826,-151,14202,-5226,7238,-1249,197,726,2
-1196,-16340,-4826,-92,1004,-97,14718,-5498,6406,-2138,-392,630,2
-1042,-16466,-4862,3123,538,-295,13592,-5706,5488,-1616,909,571,2
-1286,-16392,-4714,677,789,-215,13558,-5406,7192,-607,305,424,2
-1434,-16312,-4748,473,769,-157,14224,-5492,5646,-1918,-675,390,2
-986,-16022,-5058,701,581,-109,13514,-6140,5286,-579,657,-406,2
-930,-16192,-5056,959,488,-216,13716,-5684,6012,980,791,-661,2
-1292,-16210,-4916,865,497,-328,14246,-5656,6656,824,20,-364,2
-1684,-15992,-4680,645,357,-385,14264,-5566,6402,-151,-476,141,2
-1994,-16014,-4592,495,421,-424,14228,-5358,6490,326,-59,238,2
-1666,-16500,-4694,175,74,-408,14332,-5582,6548,303,-152,45,2
-1096,-16342,-4702,-260,-352,-550,14462,-5450,6544,-189,-633,-4,2
-1316,-16348,-4582,-103,-334,-689,14224,-5672,5808,-7,-331,-287,2
-1402,-16200,-4612,-189,-280,-567,14106,-6088,5788,925,-82,-594,2
-1264,-16036,-4668,-117,-447,-479,14040,-5884,5636,1971,-285,-654,2
-1384,-16288,-4634,-160,-613,-488,14232,-5640,5910,2625,-575,-631,2
-1438,-16428,-4654,-101,-636,-503,14564,-5472,6370,1900,-1023,-325,2
-1428,-16306,-4640,17,-790,-570,13976,-5510,5774,1995,-483,-410,2
-1484,-16270,-4688,24,-966,-603,13500,-5314,5316,3753,409,-1089,2
-1294,-16280,-4770,70,-993,-575,14410,-5266,7206,3593,-267,-1205,2
-1132,-16186,-4752,162,-1019,-588,14880,-4726,7154,1344,-1477,-368,2
-1236,-16260,-4836,112,-1004,-626,14078,-4976,6022,599,-1042,-502,2
-1292,-16338,-4778,216,-754,-662,14050,-5044,6302,1779,-209,-1329,2
-1264,-16196,-4772,-69,-530,-685,14254,-4716,7108,883,-1000,-1223,2
-1178,-16056,-4870,-229,-513,-686,13944,-4730,6040,938,-554,-1227,2
# ---,,,,,,,,,,,,2
-946,-16090,-4798,-54,-338,-668,14362,-4782,6914,2505,-263,-1874,2
-1092,-16196,-4716,59,-142,-696,14720,-4066,7060,1012,-1250,-1595,2
-1266,-16224,-5036,-409,-142,-684,15054,-3812,6024,1009,-496,-1386,2
-1196,-16312,-5008,143,-39,-702,15074,-4008,6404,2237,1167,-1371,2
-914,-16070,-4974,291,248,-653,13650,-4624,7938,1355,-187,-1482,2
-898,-15830,-4988,348,511,-526,14216,-3840,5626,1437,-1128,-2112,2
-1050,-16246,-4912,346,697,-403,14792,-3444,5604,2866,579,-1766,2
-1506,-16370,-4520,381,926,-255,14362,-4034,8070,3032,-303,-1085,2
-1592,-16294,-4606,197,675,-236,14192,-4026,6734,3366,-623,-1207,2
-1516,-16312,-4894,291,-16,-408,14866,-3132,6522,3523,550,-1306,2
-1374,-16216,-4568,513,-362,-590,14688,-2902,7822,2527,378,-1616,2
-1190,-16158,-4588,430,-513,-624,14264,-2968,7096,1772,264,-1966,2
-1164,-16238,-4754,81,-593,-543,14668,-2624,6772,1390,1092,-1625,2
-1138,-16052,-4834,237,-586,-574,15160,-3282,8240,935,1277,-995,2
-822,-16000,-4942,245,-615,-511,14166,-3470,6070,806,1226,-1441,2
-666,-16020,-5026,215,-248,-468,14580,-2742,6428,641,1007,-1370,2
-942,-16222,-4804,161,475,-404,14664,-3132,7552,383,962,-702,2
-1236,-15864,-4740,-113,439,-414,13930,-3680,6714,616,58,-1179,2
-1240,-15884,-4826,-29,-117,-484,15038,-2986,6606,716,3,-1309,2
-1486,-16298,-4626,21,-294,-541,14914,-2808,6972,320,71,-680,2
-1632,-16200,-4852,-92,-244,-616,14630,-2984,6676,234,-149,-378,2
-1378,-15988,-4882,-9,-668,-755,15214,-3212,6742,675,-257,-255,2
-1206,-16166,-4802,70,-1307,-764,15084,-2558,7092,499,-341,339,2
-1270,-16272,-4832,77,-1618,-798,14788,-2266,6836,216,-54,477,2
-1170,-16314,-4954,276,-1660,-867,14888,-2602,6892,745,-87,246,2
-1042,-16174,-4900,454,-1679,-886,14896,-2636,7338,1012,-516,352,2
-872,-15960,-4840,180,-1778,-834,14928,-2368,7070,1236,-498,326,2
-648,-15974,-5036,60,-1631,-728,14834,-2214,7340,1373,-473,349,2
-514,-16054,-5130,214,-1207,-597,14750,-2412,7540,1085,-745,619,2
-640,-15990,-5058,-18,-726,-431,14916,-2360,7140,1087,-814,577,2
-586,-15998,-5148,-186,-293,-254,14744,-2162,7376,708,-1011,714,2
-570,-16230,-5284,-207,189,-125,14580,-2236,7664,193,-1037,981,2
-608,-16126,-5224,-121,542,-22,14834,-2168,7290,76,-614,1039,2
-672,-16136,-5068,1,601,30,14812,-2398,7048,-107,-112,923,2
-660,-16042,-5020,-41,776,169,14766,-2540,8010,-882,-613,1062,2
-634,-16026,-4928,-235,1046,244,14924,-2480,7488,-1781,-592,1545,2
-800,-16296,-4864,-496,1297,265,14786,-2930,7160,-2397,-47,1671,2
-1234,-16392,-4950,-312,1499,182,14410,-3282,7220,-2834,6,1603,2
-1590,-16300,-4816,-155,1305,31,14202,-3672,6800,-2743,-119,1702,2
-1632,-16230,-4682,-178,814,-106,14266,-3568,6990,-2521,-741,1943,2
-1398,-16150,-4672,-37,443,-259,14532,-3676,6976,-2831,-1327,2104,2
-1448,-16226,-4556,-136,110,-414,14616,-3468,6936,-3189,-1292,2203,2
-1394,-16224,-4714,-262,141,-464,14130,-3570,6718,-3312,-1344,1774,2
-1070,-16204,-4946,-166,78,-411,14660,-4042,6900,-3240,-1538,1467,2
-974,-16230,-4940,12,-231,-367,14630,-4150,6626,-3359,-1387,1631,2
-1100,-16390,-4868,7,-15,-349,14780,-3930,6350,-3388,-1613,1494,2
-1004,-16320,-4944,-143,434,-342,14506,-4558,6142,-3105,-902,1362,2
-904,-16062,-4970,45,545,-344,14444,-4384,6664,-2804,-810,1497,2
-952,-15960,-4928,-181,691,-177,14576,-4018,6278,-3364,-1047,1854,2
-934,-16070,-5168,-398,767,-43,14434,-4680,5578,-3411,-377,1240,2
-560,-15798,-5286,374,638,-79,13928,-5280,6018,-2011,-281,569,2
-666,-16198,-5166,737,687,-63,13954,-4716,6476,-1183,-486,846,2
