512, 472, 14598, -5413, 5123, -495
912, 364, 14146, -5240, 4857, -496
1130, 206, 13748, -5211, 4562, -414
940, 172, 13286, -5207, 4196, -426
726, 256, 12936, -5195, 4238, -309
548, 328, 12624, -5074, 4154, -298
578, 244, 12114, -4909, 3908, -375
904, 116, 11536, -4776, 3831, -298
1230, -86, 11006, -4587, 3746, -217
1500, -238, 10506, -4453, 3516, -61
1662, -386, 9928, -4422, 3067, 101
1734, -266, 9334, -4297, 2400, 240
1668, -180, 8744, -3984, 1690, 402
1564, -30, 8254, -3407, 1015, 543
1286, 406, 8014, -2641, 248, 603
900, 520, 8180, -1624, -585, 677
954, 418, 8622, -344, -1279, 782
1124, 234, 9304, 905, -1894, 777
796, 388, 10016, 1715, -2474, 771
324, 458, 10714, 2018, -2684, 946
112, 580, 11402, 2051, -2806, 1039
-56, 722, 11918, 2045, -3182, 919
-318, 740, 12356, 2037, -3771, 673
-484, 798, 12546, 2017, -4227, 636
-344, 746, 12674, 1866, -4428, 666
216, 1160, 12312, 1052, -4730, 355
86, 412, 13212, -140, -4836, 70
472, 98, 13482, 43, -4973, -87
404, 48, 13846, 892, -5143, -72
-14, -10, 14350, 2095, -5093, 166
-488, 114, 14812, 3254, -4784, 425
-794, -26, 15578, 4244, -4427, 566
-948, -88, 16354, 4889, -3926, 688
-1014, -138, 17190, 5106, -3525, 932
-884, -396, 18032, 5078, -3624, 979
-420, -454, 18430, 4851, -3855, 938
-530, -230, 18764, 4534, -3800, 1016
-776, -270, 19300, 4475, -3369, 1276
-1330, -144, 19836, 4770, -2865, 1476
-1886, 22, 20242, 5005, -2366, 1559
-2016, 86, 20716, 5213, -1626, 1601
-2000, 40, 21126, 5252, -962, 1570
-2026, 124, 21532, 5026, -745, 1405
-1798, 194, 21864, 4635, -643, 1181
-1778, 254, 22214, 4308, -543, 933
-2254, 660, 22670, 4074, -300, 879
-2902, 802, 23360, 3744, 567, 1122
-4108, 4908, 23258, 1340, 232, 809
-3606, -532, 26524, -6445, 1536, -107
-2110, 512, 25214, -4302, 1765, 630
-1586, 0, 23778, -1381, 1292, 281
-1316, 1014, 21198, 1212, 181, 145
-1238, 1898, 19570, 2178, 123, 106
-1526, 1650, 19768, 2006, 428, 295
-1634, 1080, 20456, 1523, 219, 321
-1884, 916, 20756, 971, -1, 289
-2270, 1072, 21022, 304, 207, 360
-2458, 1114, 21358, -238, 733, 467
-2664, 1086, 21740, -486, 1412, 592
-2704, 1372, 21896, -647, 1905, 674
-2454, 1472, 21598, -1223, 2043, 508
-2300, 1740, 21302, -2061, 2196, 257
-1998, 1864, 20898, -2796, 2437, 46
-2050, 1934, 20494, -3233, 2630, -194
-2282, 1768, 20380, -3241, 3005, -289
-2472, 1668, 20312, -2974, 3510, -366
-2678, 1530, 20156, -2822, 4136, -426
-2566, 1346, 19900, -2985, 4481, -649
-2296, 1086, 19630, -3459, 4812, -819
-1726, 872, 19322, -4167, 5013, -900
-1090, 664, 18670, -5121, 4932, -1043
-520, 524, 17860, -6049, 5050, -946
-540, 464, 17388, -6608, 4872, -878
-558, 560, 16628, -6623, 4297, -882
-488, 740, 15766, -6588, 4250, -779
-432, 778, 15026, -6811, 4305, -783
-324, 598, 14526, -6830, 4252, -833
-202, 478, 14016, -6428, 3986, -901
-142, 352, 13550, -5873, 3894, -832
-12, 290, 13080, -5360, 3995, -633
